Index,Sentence
126,"At first glance , my roommate actually left a very good impression on me because she was 5 years older than me , which made me feel she would support me in so many ways ."
127,"When I arrived at my room , she was with her Japanese boyfriend , so she introduced him to me and told me that if I had any Japanese questions , I could just ask her boyfriend ."
128,"I felt that I was so lucky that God gave me such a nice roommate , because she seemed to be very protective ."
129,"For a girl who had left home for the first time , it really helped a lot ! !"
130,"At least , she gave a made me feel secure , though her boyfriend always stayed in our room even at the bed time ."
131,"To let my roommate know that I would not be a threat to her relationship , I only brought up my questions when she was there as well ."
132,"Therefore , she hoped that I could turn to other Japanese for help instead ."
133,"As a result , I wrote a note to her , apologized and made it clear that I did not mean to upset her ."
134,"If she felt hurt , I would stop doing it right away ! !"
135,"Even though her boyfriend told me that he felt his girlfriend was too emotional and that I could still consult him questions when she was away , I declined his kindness and hardly spoke to him ."
136,"Originally I thought that everything would just go back to normal , to the very beginning when I was on good terms with her ."
137,However I was totally wrong because now she only gives me the cold shoulder .
138,"Last time , I fuzzed every time as speaking more than usual ."
139,"Sounds ironic , does n't it ?"
140,"What I mean is the more I study about expressions or vocabularies , the more I 'm confused , because everytime I try to use new things , it does n't come to my mind as automatically as I wish , and it makes me murmur ( ? ) ."
141,It 's because I have a school trip on September 7 - 9 .
142,"Although I live in Fukushima in Japan , I 'll be going to Tokyo in Japan . ( Future Tense )"
143,So I need to be ready for my school trip soon .
144,I 'll write about my school trip when I get back home .
145,This leads to nowhere .
146,I want to try myself against the material world .
147,Our turn is at 14 : 25 .
148,"I 'm going to my university , and starting choir practice from now on ."
149,I live in a dorm with an international student from the U .
150,She is very good at Japanese and always helps me study English .
151,"However , because she speaks Japanese so well , I sometimes hesitate to speak English ."
152,"Moreover , she always speaks Japanese instead of using English , so I do n't have enough chances to speak English ."
153,"Therefore , I try to decide `` ONLY ENGLISH DAY `` and I ask her to speak only English during that day !"
154,"I 'd go back in time , if I could : ("
155,"Annzu was a stray cat and was pecked by crows in a park , before a volunteer saved her life ."
156,"When she came to my house for the first time , she was so skinny that we could n't hug her tightly ."
157,"Today , I begin lang - 8"
158,I 've been studying English since I was a junior high school student .
159,"I can understand wrriten Emglish , for example news papers ,"
160,but I ca n't listen and write English .
161,The class consists of students and teachers .
162,"I had to speak many times , so it was profitable ."
163,Gossip Girl is a popular American TV series that was introduced to China as a fashion and life style book .
164,"In the shows , Serana and Blair are the most lucky girls who are rich , beautiful , charming , and so on ."
165,They possess all the things which was most girls want to have in the world over all .
166,"The people in the upper east live in a gorgeous and lavish area , plus they are elite who know how to managemultinational corporations even though maybe inherited them from family ."
167,"Obviously , they are in the spotlight in any parties at New York they go to at night ."
168,"We are mortal , directly I envy that kind of bule ( ? ) blood people ."
169,Let me cite a fashionable word `` hold `` which is fantasy of an amazing girl in China .
170,I want to go to NY someday .
171,One of the serious problems in Japan .
172,I watched a TV news broadcast which was about the high numbers of suicide among younger people around 20 to 30 years old .
173,The news said that the numbers have continue to increase over the last 10 years .
174,I think that most younger people in Japan have no dreams or purpose for the future .
175,Then they feel themselves as useless to the world and that they have no reason to live anymore .
176,"Anyway , presently , we are much richer materially than we have been in past , but our minds have weakened ."
177,And Japanese society is in aging society . We are running out of younger people in the work force .
178,"Somehow we must stop younger people from committing suicide , or our society will collapse much sooner than we expected ."
179,"I went to Oita , my home town , for about three weeks for summer vacation , and I came back home three days ago ."
180,I felt a fresh appreciation of my parents this time because of going back to my home town .
181,I also realized how I had always had a luxurious life .
182,"I did n't feel lonely before I went back to Oita , but still if I go back once , I will get accustomed to my old life with dogs , a sister and parents , so when I am alone again , I will feel very lonely ."
183,"But in fact , I 'm know that it is too bad for me because I 'm going abroad to America for four years as a university studdent ."
184,"None of my friends lives near my house , so whenever I go shopping , I am alone ."
185,"It is only a matter of time now before I start my class ( again ) , so I 'm looking forward to seeing my friends now ."
186,This happened a few months ago .
187,"I was on the platform , waiting for a train , as usual ."
188,"She seemed to be over 50 years - old , and came near to"
189,"where I was standing , because there was public phone near me ."
190,"She put money into phone , then dialed ."
191,"`` Oh , I 'm sorry I 'm going to be late . `` the woman said in a loud voice that"
192,She continued talking .
193,`` I was having a poo . ( lol . . )
194,It was really big one so it took a long time to flush . ``
195,That 's why I missed the train .
196,"I 'm sorry I ca n't be there on time , but it could n't be flushed ``"
197,"She desperately explained that it was n't her fault , but her poos fault ."
198,"Sometimes people make excuses for their mistakes , such as tardiness"
199,"However , I have never heard such a childish excuse ."
200,"Otherwise , nobody will believe her ."
201,"Everyday , going to the office , I watch a video on my iPod touch ."
202,Recently I 've been watching `` Sesame Street ``
203,for the purpose of studying English .
204,`` Sesame street `` is fun for me .
205,But it 's exciting story tires me sometimes .
206,The word ' excitement ' means `` Hi - tensyon `` -
207,Maybe it is bad English .
208,`` sesame street `` is useful for studying english .
209,about `` less exciting `` English studying videos .
210,I had a dream that I drove a car and it fell off from the road .
211,I had to lie down before I checked the e - mail yesterday .
212,"So , maybe I think I might have an allergy to pollen ."
213,In spring I get dry skin and my eyes become very itchy . . .
214,Studying English
215,"Hello , everyone ."
216,My name is KAORI and I live in Japan Osaka .
217,"I had studied English while I was a student , but I ca n't understand English now ."
218,This trauma is very heavy to me .
219,"So , I decided to start studying English at this site ."
220,Please teach me the correct English .
221,So recently I have not updated my diary .
222,I work in a trading company .
223,"We receive telephone calls from abroad , take care of foreign customer who visits Japan , go on business trips to do research at various conferences and exhibitions ."
224,I believe someday I will improve my English if I keep on studying and updating ( my diary on ) this website .
225,Wow . . what a good website this is !
226,This is my first time writing here .
227,I want to meet many people from other countries !
228,"I 'm very interested in classical guitar , but I ca n't play well ."
229,"After I graduate from college , I would play the guitar freely ! !"
230,Tonight the World cup Japan vs Paraguay game is on !
231,"I want to support the Japanese team , but I have to go to my part - time job . . . ."
232,"DVD shop have many dvds : 24 , prison brake , ugly betty , gossip girl , fringe , and so on . . ."
233,What is your recommendation ?
234,The Japanese government warned people that there was a possibility of electric power failure in the Kanto region yesterday afternoon .
235,Tokyo power company had already stopped their service in the scheduled area
236,but they said there was still not enough power .
237,"I filled plastic bottles , pots and buckets with as much water as possible ."
238,We ca n't use water if we have a power failure .
239,My apartment is serving water to each family with electric power .
240,"Fortunately , we avoided the crisis , although all the ATMs temporarily did n't work at one major Japanese bank ."
241,The Fall approaches .
242,It was rainning day . It was raining today
243,The weather in Korea is a little cold due to the change of seasons .
244,"For that reason , I thought about a lot of things ."
245,"So , now I 'm mentally overloaded ."
246,I should do something fun !
247,"Yesterday , I hung out to relax ."
248,I walked from Shibuya to Harajuku and returned to Shibuya .
249,"It was a nice weather , so I felt well ."
250,"It was a happy day , because I went to a spot I never go ."
251,I forgot what I wanted to write about today .
252,My cellphone was n't working well .
253,"I thought my cellphone finally broke down , because it did n't react even after I pressed the buttons ."
254,I almost lost my composure .
255,I noticed that my friend 's cellphone is the same type as mine .
256,"He was studying , but I broke in because I did n't afford to care for him ."
257,He told me some information about the cellphone and suggested that I call customer service .
258,"After he had finished his story , I tried to call customer service ."
259,"The moment I called to the customer center , I noticed that I was using my cellphone and it was working as usual ."
260,I think it is because of my aging .
261,"Every time I write an essay , I use a lot of the same transitional words ."
262,"If you know a variety of transitional words , could you please let me know ?"
263,"I have had lots of work to do , but I need to keep my learning time somehow ."
264,It 's difficult for me to do two things at the same time .
265,"But I 'll try hard , hoping that I can keep up at least once a week ."
266,I want to be an international translation volunteer .
267,"So maybe I should practice English often , hoping that Lang - 8 will help ."
268,"Outside was too hot , so I went home early and stayed in the living room ."
269,The reason why is that the living room is the only room that has an air conditioner .
270,I live in Saint Petersburg near the metro station `` Ploshad Mygestva `` .
271,"This station is not situated in the center of the city , but I very often go to the center to walk on the beautiful streets ."
272,Many of St Petersburg 's streets still have some special historical features .
273,"Little courtyards , narrow streets and buildings from the 19th century surround you and can immerse you in this fantastic time ."
274,"And a lot of cars , shops and coffee houses ca n't break this illusion ."
275,You can walk in this city for many days and every day you will discover some new details of this atmosphere for youself .
276,Many times I just walk on `` Nevsky prospect `` and go to Aleksander Nevsky square .
277,"Sometimes when I 'm not in a hurry , I just turn right or left at random crossroads and aimlessly walk around the little streets to feel the unique atmosphere ."
278,"If you are ever in Saint Petersburg and you have a lot of free time , I advise you to just walk around the city for one or two hours without any plan , and you will feel the unique atmosphere of the 19th century ."
279,I was surprised at / by how big they were .
280,I thought that these cucumbers were more than twice as large as ones in Japan .
281,I recognized that even the same vegetables can have / be different shapes .
282,I began using Lang - 8 today .
283,"I 'm not good at English , therefore I think that I should write short sentences every day ."
284,This is my first time writing a diary .
285,I 'm Japanese . I 'm 21 years old .
286,"My name means cherry blossoms , which is the most popular flower in japan ."
287,I live in Kanagawa prefecture which is near Tokyo .
288,I 'm learning about ' Environment and Humanity ' in my University .
289,"My hobbies are dancing , listening to hip - hop music and going to museums ."
290,In March I 'm going to go to Colorado State University in the USA .
291,"If you find any errors , please correct them ."
292,My year end result will come out this Thursday .
293,I feel pretty anxious waiting for this day .
294,I hope to pass with flying colours !
295,"Even though I try to write short entries , I regret that nobody corrected yesterday 's entry . . ."
296,You do you think I should do to get corrections ?
297,Please give me some advice on how to get more corrections .
298,Would you please correct the entry I made yesterday ?
299,Yesterday I went to a hot spring and the bookstore .
300,The hot spring was very good .
301,At the bookstore I bought a textbook on English proficiency .
302,Someday I want to be proficient in English .
303,I went to school before going to the hot springs and book store .
304,It was to meet with fellow teachers .
305,I made cheesecake and delivered it to the fellow who had to work .
306,( * The second picture is a view of the nearby hot springs . )
307,Math is a very important subject in Korea .
308,"If you give up on this subject , you give up on college ."
309,But I am really poor in math .
310,I ca n't understand ( it ) at all .
311,"Whenever I try to solve a question , I just get stuck ."
312,How I can get better at math ?
313,so I decided to send a present for her today !
314,She likes to eat Japanese snacks so I decided to send her a plenty of Japanese snacks .
315,Most of it are rice crackers in different tastes .
316,I can not see the end of the tunnel .
317,"I can not go back , and all I can do is to go forward while touching the wall of the tunnel ."
318,"I sometimes experience fear , depression and loneliness , but I have to conquer them if I want to become a fluent English speaker ."
319,I almost lose my confidence of whether I can do it or not . . . . . .
320,It was too cold to use my room today .
321,"The heater in my room is not warm enough , so I decided using my laptop in my living room ."
322,"According to the weather news , this cold weather will last until tomorrow ."
323,I wonder if I 'll use my room tomorrow .
324,"I do n't like to go out during a long holiday , everywhere is crowded with car and people ."
325,It 's not easy to go for a few meters in a traffic jam .
326,"Most of Chiang Mai residents will stay at home for celebration with families , while the visitors from around the world choose to countdown on the street ."
327,Have you seen any accidents on the street in this season ?
328,"After the celebrations finish , the drunken drivers need to go back home , but they always lost their control in driving ."
329,During this festival we wish there was less disaster or loss .
330,The police station has a service to provide a cup of coffee or a foot massage for a long distance driver .
331,We have only a small hope that there will be less loss than last year .
332,Our long holiday lasts from 31st Dec 2009 to 3rd Jan 2010 including the beginning and finishing day . It 's six days in total .
333,"Lately , I spend a lot of my time on the computer ."
334,The reason is that it is on my table .
335,When I start using the computer I go mad with the internet .
336,But I cure that now using this program :
337,This program shows how much time you spend using the computer
338,"So since I 've started using this program , my computer time has gone down"
339,"It 's really summer , is n't it ?"
340,It 's . luxurious !
341,It 's reminiscent of a taste during my childhood in my hometown .
342,"When I close my eyes , I can see myself eating corn , sitting outside in front of my house ."
343,"All of the doors and windows are open , because there is no air [ space ] conditioner ."
344,"In my hometown , there is a very beautiful river ."
345,"Sometimes we went to the river with cucumbers , tomatoes , some cheap melons and occasionally watermelons ."
346,It was the most enjoyable time for us students .
347,"I still remember the cucumbers and tomatoes , withjust a little salt on them . They tasted very good !"
348,But please do n't ask me what I ate for dinner yesterday .
349,I had a pre - speech contest today .
350,Unfortunately I did n't make it to the final because I made a fluff .
351,I was also told by a teacher that I made a fluff because I did n't speak from my heart .
352,That was a blow to me .
353,"I know this is kind of a small matter but it was very , very regrettable anyway ! !"
354,Please give me your advice .
355,"At this class , lots of people were American teachers ."
356,"After that , I draw a picture about trees ."
357,"At that , we sung a lot of Beatles ' songs ."
358,"It was delicious but , I was still hungry ."
359,"Then , I sung a song called `` Under the Sea . ``"
360,I could n't sung very good because my voice was so high .
361,"Today was really full of fun , because we did a lot of things ."
362,And I 'm interested in Fuel Cell research and the Internet .
363,There are n't any stimulating things at the University .
364,Working or studying energy and environmental technologies including Fuel Cell research in graduate school .
365,Repairing a Computer
366,"Recently , There were some problems with my computer ,"
367,"When I turned my computer on , the screen was blank"
368,"Finally , my computer started to work again ."
369,I 'm going to take the TOEIC ( exam ) this weekend .
370,I missed it in January since I got the flu the day before the test .
371,Therefore I 'm glad to be able to take it this time .
372,I wonder if my English vocabulary has been improving during this period .
373,I had my hair cut today because summer is coming soon .
374,"The length of my hair is pretty short now , compared to before ."
375,I feel so good .
376,"Today , I went to the ( / my ) office by car ."
377,I ride on a train as usual .
378,"But , it was really hot and humide today ."
379,I did n't want to walk for a long time .
380,I like driving ( my car ) !
381,"But , my car is getting worse because it is so old ."
382,the window 's sensor and it 's very noisy .
383,I think I 'd better buy a new car .
384,"But , I do n't have enough money : ( ."
385,Please do n't break car ! ! !
386,My birthday is on September 21st .
387,My special ability to say all of the European countries metropolitan name .
388,I like to watch baseball .
389,My favorite team is `` Hiroshima Toyo Carp `` .
390,I like to travel .
391,I went to various parts of Japan .
392,I want to go on a tour of Europe sometime in the future .
393,"Today , my mom told me that in a high school in my hometown , there was a student suicide ."
394,"Swimming is difficult for me although I live inSoutheast China , a place rich in rivers and lakes ."
395,"During this summer vacation , I decided to learn it ."
396,"I have already had two swimming classes from which I have learned some basic swimming skills . With more and more practice , I have fallen in love with it . It can keep me fit . What 's more , it 's also a good way to relax ."
397,Do you love swimming ? Can you share your swimming experience with me ?
398,My mobile phone is a DoCoMo foma .
399,I bought it 3 or 4 years ago .
400,"So , I want to change to a smart phone ."
401,"Today , I went to a DoCoMo shop , _ and I touched / looked at a Regza phone ."
402,Yesterday my family visited the National Museum .
403,Soon the snow turned into snow storm .
404,"When I pushed the break pedal , the car did n't stopp ."
405,"At the time , the ABS worked and the car stopped"
406,We arrived at the museum only to find that a reservation was necessary .
407,"Actually , needing a reservation is unusual in Korea ."
408,"1 : 30 PM sold out ,"
409,"3 : 00 PM sold out ,"
410,"4 : 30 PM sold out , and"
411,6 : 00 PM sold out
412,"In front of the sign board , we met a angel ."
413,"The angel said us ,"
414,I will give them to you ``
415,"Hey , my Child !"
416,Let visit the Stone Age ! !
417,Thanks to the angel
418,A Day Spent Waiting
419,"Today , I wasted a lot of time waiting ."
420,I waited the entire morning for my company 's car to help me deliver a shelf to my customer and also waited for my customer to put the shelf in the supermarket the whole afternoon .
421,What a boring day this was !
422,"but I need to wake up now , because the sun is already high . . . ? ?"
423,"and also its Sunday today , , I need to go to the Church maybe later , , and later too at 3 pm . ."
424,"I am going to the B - day Party of my grade school classmates its her daughter 1st b - day , , and also its been a long time since I saw her , . ."
425,"its 9 : 30 in the morning here , , instead of taking milk and breakfast first , , I opened first my computer hahaha . . . word order"
426,These are serious problems .
427,"In Hong Kong , the government focuses on the drug problem ."
428,"Also , Many social workers are concerned about the family and violence problems ."
429,"However , there are no programs to deal with young people 's sexual behaviour ."
430,But why has this issue in recent years been even more serious ?
431,"The researchers note that `` If women are exposed to abuse , domestic violence , and family strife , it has enduring effects . ``"
432,Also there are many cases which teenagers give up their babies in the street or have an abortion .
433,"The most important thing is , they do not think they are wrong ."
434,She wrote a diary and posted her pregnancy photos on the Internet .
435,She was proud of her pregnancy .
436,We have three kinds of solutions to solve the teenage pregnancy problem .
437,The second one is non - government and social workers . The last one is consulting with other countries ' policies .
438,"Firstly , government should invest more in sex education ."
439,"Also , teenagers feel embarrassed communicating with their teachers and parents ."
440,Their peer group also affects them .
441,"For example , their peer group may give them the wrong messages regarding & nbsp ; sex ."
442,Teenagers may misunderstand issues regarding sex when they receive incorrect information from their & nbsp ; peer group .
443,They are curious about sex and want to try it .
444,Sex education reduces the rate of teenage pregnancy .
445,Teachers can take care of teenagers when teaching them safe sex .
446,"Also , it can reduce their curiosity and let them learn the the correct values ."
447,"Moreover , mass media gives unsuitable messages to young people . For example , Mother at 14 ( television drama ) , My Guardian Characters ( children 's comic book ) , and Juno ( Film ) provide & nbsp ; negative messages ."
448,"They may think teenage pregnancy is a universal phenomenon and part of & nbsp ; Western culture , or that & nbsp ; it is not a problem and not special ."
449,"Also , it can be perceived as a trend to follow ."
450,"So , the Hong Kong government should set up the law so & nbsp ; as to supervise the mass media ."
451,I do n't need to use English in daily life .
452,"I do n't have a strong reason to study English ,"
453,I 'd like to read many books from English countries in English .
454,"Whatever , I 'd like to use English for my work ."
455,)
456,I 'm going to California in this July .
457,I also want to make friends with other exchange students and the host family !
458,I 'll try my best ! !
459,Thank You E - mail
460,I got a job offer this week .
461,Other head hunters are sending me other job offers now .
462,Therefore I want to send thank you e - mails to the other head hunters who worked for me .
463,I have accepted it .
464,I am deeply grateful to you for your cooperation / help / assistance .
465,"Sincerely ,"
466,Let 's go to lunch !
467,Hi ! I 'll go to lunch after this .
468,I 'm thinking about what to eat .
469,"Chinese , Italian or Indian food ."
470,I did not eat breakfast and am very hungry !
471,Right now I 'm watching the movie `` American Gigolo ( I do n't know how should I spell it ) ``
472,Richard Gere ( I do n't know again how should I spell it ) plays ( stars ) in the movie .
473,"In the movie , he was very young and so fine , so cute !"
474,The college student is busy ^ ^ ; ( or undergraduate student )
475,Do you think that the college class is difficult ?
476,I am majoring in electrical engineering .
477,But it 's tough to keep pace with myself .
478,"I was trying to concentrate on studying for the exam , but the sound of cicadas"
479,"Besides , it was really hot today ."
480,"Therefore , I decided to go to the library and then I made a good progress ."
481,"I am now busy with the computer examination , which will take place this Saturday morning ."
482,"I scanned the book this afternoon , and found that it was boring and not relevant to daily life ."
483,"However , as a college school student , I have to accumulate the necessary certificates to get a good job ."
484,"Estonian sumo wrestler , Baruto Kaito 25 years old ."
485,His big smiley face makes me happy !
486,It is a charming garden city with picturesque scenery and pleasant weather .
487,SHENZHEN was setup as the economic special zone in 1980 .
488,"It has developed from a small frontier town to a modern city , whose comprehensive economic strength has led the large and middle cities in china ."
489,High - tech industries are feature that have constituted the first increasing section in the economic development of shenzhen .
490,"In addition , there are about ten historical and cultural relics from the new stone age to Ming and Qing dynasties as well as modern revolutionary sites in china ."
491,"The china folk culture villages are showcases of the different arts , customs and architectural styles . ' being from life and yet going upon to a higher plain than life itself , absorbing what is good and rejecting what is bad ' is the guideline for the construction of the park"
492,"It 's easiest to listen to English in music , especially the Beatles and The Carpenters ."
493,( Some music is impossible to listen to though ) . It 's second easiest to listen to English on the radio .
494,I often listen to J - wave in my car ( a Honda Fit ) .
495,"The radio personalities on the programme are very friendly and polite , which means we can easily listen without getting offended , but sometimes I do n't like their goody two shoes attitudes ."
496,"At first , I noticed his familiar face when I was going to buy underwear at UNIQULO , the largest apparel company in Japan , but I was n't confident that he was my old friend ."
497,Because I have n't met him since my junior high school graduation .
498,"I did not write dairies for almost a week because I was lazy . ( I am not going to say BUSY ) My previous English tutor told me to never use BUSY as the excuse to postpone something , because no matter how busy you are , millions people will be busier than you such as presidents , CEOs , celebrities and a lot of people ."
499,"I went to the Chinese medicine hospital last Thu , helped my Japanese friend to find a sweet room on Fri , set up the internet and went to a darts bar with him on Sat , played beach vollyball and fooled around with some new friends at a beautiful beach in the north Taiwan on Sunday ."
500,How do I become abetter English speaker ?
501,It 's just a matter of ( keeping ) practice .
502,"Today , I got a day off and went to see the circus with my family ."
503,The circus has run every season in this area
504,from ( since ) when I was a child .
505,I have never seen itlive ( or `` a live performance `` ) because I could have seen ( see ) it on TV
506,"Actually , the live circus was interesting ,"
507,My daughter 's pleasure was the best for me from this show .
508,"But if someone asks me to go again , I wo n't go even ( if ? ) I pay ."
509,Recently I have been a bit lazy . . .
510,"decent : His father wanted him to get a decent education , so his family moved from his country ."
511,"innocent : He tried to prove his innocence , but no one believed what he said ."
512,"sensitive : She said her skin is sensitive to every stimuli , so she does n't want to go on a hike ."
513,"serious : I thought she was joking , but when I looked at her face , it was quite serious so I realized she was telling the truth ."
514,noble : I think every person needs something noble in their life .
515,"brave : My friend said I 'm brave , but I could n't find any brave qualities in myself ."
516,I wonder if the usage of `` serious `` above is correct . It is ! = )
517,Thank you for always writing comments .
518,I 'm happy and study them .
519,I think that it is difficult to always think in English .
520,"Because I want to study abroad someday , I 'll do my best ."
521,"It is nice , because I can study and learn new words ."
522,I enjoy life every day .
523,I started learning english . recently
524,"English is very difficult to me , but I enjoy learning ."
525,Two diaries in one day .
526,I always write a diary twice a day .
527,Because I write in Korean and in Lang - 8 .
528,Every day . ! ! !
529,"well , sometimes I forget to write in korean ."
530,Hehe - _ - ;
531,"During spring break , I would go to bed around 3 a ."
532,m and sleep till 1 p . m .
533,The new semester will start next week and some of my classes will begin at 11 a . m .
534,It 's a shame to let them pass me by because of oversleeping .
535,So I have been waking up at 8 a .
536,"It 's not easy for me to wake up early and sometimes I feel an irrestitible urge to sleep during the day , but still I manage to get out of bed by at least 8 a ."
537,I have an appointment to meet my boss at my new job tomorrow a bit late at night .
538,I will fight to keep myself awake tomorrow ! !
539,The package included an electronic dictionary that I borrowed from her a long time ago .
540,"I had forgotten to return it , but she suddenly called me and asked for it to be returned ."
541,So I found it in my desk and she sent it with some souvenirs .
542,I called my mom and let her know it was sent by my wife this morning .
543,"After I finished my work , I met a friend who is member of the same English circle ."
544,She has a lot of DVDs which at last count was over 200 !
545,I introduced her to Lang - 8 .
546,I said it was good for studying .
